Episode,Score,Record,Total Score,Mean Score
1,0,0,0,0.0
2,0,0,0,0.0
3,0,0,0,0.0
4,1,1,1,0.25
5,0,1,1,0.2
6,0,1,1,0.16666666666666666
7,0,1,1,0.14285714285714285
8,0,1,1,0.125
9,0,1,1,0.1111111111111111
10,0,1,1,0.1
11,0,1,1,0.09090909090909091
12,0,1,1,0.08333333333333333
13,0,1,1,0.07692307692307693
14,1,1,2,0.14285714285714285
15,0,1,2,0.13333333333333333
16,0,1,2,0.125
17,0,1,2,0.11764705882352941
18,1,1,3,0.16666666666666666
19,0,1,3,0.15789473684210525
20,0,1,3,0.15
21,0,1,3,0.14285714285714285
22,0,1,3,0.13636363636363635
23,0,1,3,0.13043478260869565
24,1,1,4,0.16666666666666666
25,1,1,5,0.2
26,0,1,5,0.19230769230769232
27,0,1,5,0.18518518518518517
28,0,1,5,0.17857142857142858
29,0,1,5,0.1724137931034483
30,0,1,5,0.16666666666666666
31,0,1,5,0.16129032258064516
32,0,1,5,0.15625
33,0,1,5,0.15151515151515152
34,0,1,5,0.14705882352941177
35,0,1,5,0.14285714285714285
36,0,1,5,0.1388888888888889
37,0,1,5,0.13513513513513514
38,0,1,5,0.13157894736842105
39,1,1,6,0.15384615384615385
40,0,1,6,0.15
41,1,1,7,0.17073170731707318
42,0,1,7,0.16666666666666666
43,0,1,7,0.16279069767441862
44,0,1,7,0.1590909090909091
45,0,1,7,0.15555555555555556
46,0,1,7,0.15217391304347827
47,0,1,7,0.14893617021276595
48,0,1,7,0.14583333333333334
49,2,2,9,0.1836734693877551
50,0,2,9,0.18
51,0,2,9,0.17647058823529413
52,0,2,9,0.17307692307692307
53,0,2,9,0.16981132075471697
54,0,2,9,0.16666666666666666
55,0,2,9,0.16363636363636364
56,0,2,9,0.16071428571428573
57,0,2,9,0.15789473684210525
58,0,2,9,0.15517241379310345
59,0,2,9,0.15254237288135594
60,1,2,10,0.16666666666666666
61,0,2,10,0.16393442622950818
62,0,2,10,0.16129032258064516
63,0,2,10,0.15873015873015872
64,0,2,10,0.15625
65,0,2,10,0.15384615384615385
66,0,2,10,0.15151515151515152
67,0,2,10,0.14925373134328357
68,0,2,10,0.14705882352941177
69,0,2,10,0.14492753623188406
70,0,2,10,0.14285714285714285
71,0,2,10,0.14084507042253522
72,0,2,10,0.1388888888888889
73,3,3,13,0.1780821917808219
74,0,3,13,0.17567567567567569
75,0,3,13,0.17333333333333334
76,1,3,14,0.18421052631578946
77,0,3,14,0.18181818181818182
78,0,3,14,0.1794871794871795
79,1,3,15,0.189873417721519
80,0,3,15,0.1875
81,1,3,16,0.19753086419753085
82,0,3,16,0.1951219512195122
83,1,3,17,0.20481927710843373
84,0,3,17,0.20238095238095238
85,1,3,18,0.21176470588235294
86,0,3,18,0.20930232558139536
87,0,3,18,0.20689655172413793
88,0,3,18,0.20454545454545456
89,0,3,18,0.20224719101123595
90,0,3,18,0.2
91,1,3,19,0.2087912087912088
92,0,3,19,0.20652173913043478
93,0,3,19,0.20430107526881722
94,0,3,19,0.20212765957446807
95,0,3,19,0.2
96,0,3,19,0.19791666666666666
97,0,3,19,0.1958762886597938
98,1,3,20,0.20408163265306123
99,0,3,20,0.20202020202020202
100,0,3,20,0.2
101,0,3,20,0.19801980198019803
102,2,3,22,0.21568627450980393
103,0,3,22,0.21359223300970873
104,0,3,22,0.21153846153846154
105,0,3,22,0.20952380952380953
106,0,3,22,0.20754716981132076
107,0,3,22,0.205607476635514
108,0,3,22,0.2037037037037037
109,1,3,23,0.21100917431192662
110,2,3,25,0.22727272727272727
111,0,3,25,0.22522522522522523
112,0,3,25,0.22321428571428573
113,0,3,25,0.22123893805309736
114,0,3,25,0.21929824561403508
115,0,3,25,0.21739130434782608
116,0,3,25,0.21551724137931033
117,0,3,25,0.21367521367521367
118,0,3,25,0.211864406779661
119,0,3,25,0.21008403361344538
120,0,3,25,0.20833333333333334
121,0,3,25,0.2066115702479339
122,0,3,25,0.20491803278688525
123,0,3,25,0.2032520325203252
124,0,3,25,0.20161290322580644
125,0,3,25,0.2
126,0,3,25,0.1984126984126984
127,0,3,25,0.1968503937007874
128,0,3,25,0.1953125
129,0,3,25,0.1937984496124031
130,0,3,25,0.19230769230769232
131,0,3,25,0.19083969465648856
132,0,3,25,0.1893939393939394
133,1,3,26,0.19548872180451127
134,0,3,26,0.19402985074626866
135,0,3,26,0.1925925925925926
136,0,3,26,0.19117647058823528
137,0,3,26,0.1897810218978102
138,0,3,26,0.18840579710144928
139,1,3,27,0.19424460431654678
140,0,3,27,0.19285714285714287
141,0,3,27,0.19148936170212766
142,0,3,27,0.19014084507042253
143,0,3,27,0.1888111888111888
144,0,3,27,0.1875
145,0,3,27,0.18620689655172415
146,0,3,27,0.18493150684931506
147,0,3,27,0.1836734693877551
148,0,3,27,0.18243243243243243
149,0,3,27,0.18120805369127516
150,0,3,27,0.18
151,1,3,28,0.18543046357615894
152,0,3,28,0.18421052631578946
153,0,3,28,0.1830065359477124
154,0,3,28,0.18181818181818182
155,1,3,29,0.1870967741935484
156,1,3,30,0.19230769230769232
157,0,3,30,0.1910828025477707
158,4,4,34,0.21518987341772153
