Episode,Score,Record,Total Score,Mean Score
1,0,0,0,0.0
2,0,0,0,0.0
3,0,0,0,0.0
4,0,0,0,0.0
5,0,0,0,0.0
6,0,0,0,0.0
7,0,0,0,0.0
8,0,0,0,0.0
9,0,0,0,0.0
10,0,0,0,0.0
11,1,1,1,0.09090909090909091
12,0,1,1,0.08333333333333333
13,0,1,1,0.07692307692307693
14,0,1,1,0.07142857142857142
15,0,1,1,0.06666666666666667
16,1,1,2,0.125
17,0,1,2,0.11764705882352941
18,0,1,2,0.1111111111111111
19,0,1,2,0.10526315789473684
20,1,1,3,0.15
21,0,1,3,0.14285714285714285
22,1,1,4,0.18181818181818182
23,0,1,4,0.17391304347826086
24,2,2,6,0.25
25,0,2,6,0.24
26,0,2,6,0.23076923076923078
27,1,2,7,0.25925925925925924
28,1,2,8,0.2857142857142857
29,0,2,8,0.27586206896551724
30,0,2,8,0.26666666666666666
31,1,2,9,0.2903225806451613
32,0,2,9,0.28125
33,1,2,10,0.30303030303030304
34,0,2,10,0.29411764705882354
35,1,2,11,0.3142857142857143
36,1,2,12,0.3333333333333333
37,0,2,12,0.32432432432432434
38,1,2,13,0.34210526315789475
39,0,2,13,0.3333333333333333
40,2,2,15,0.375
41,2,2,17,0.4146341463414634
42,0,2,17,0.40476190476190477
43,1,2,18,0.4186046511627907
44,1,2,19,0.4318181818181818
45,1,2,20,0.4444444444444444
46,0,2,20,0.43478260869565216
47,1,2,21,0.44680851063829785
48,0,2,21,0.4375
49,0,2,21,0.42857142857142855
50,1,2,22,0.44
51,0,2,22,0.43137254901960786
52,1,2,23,0.4423076923076923
53,1,2,24,0.4528301886792453
