Episode,Score,Record,Total Score,Mean Score
1,0,0,0,0.0
2,0,0,0,0.0
3,0,0,0,0.0
4,0,0,0,0.0
5,1,1,1,0.2
6,1,1,2,0.3333333333333333
7,0,1,2,0.2857142857142857
8,0,1,2,0.25
9,1,1,3,0.3333333333333333
10,0,1,3,0.3
11,0,1,3,0.2727272727272727
12,0,1,3,0.25
13,0,1,3,0.23076923076923078
14,0,1,3,0.21428571428571427
15,1,1,4,0.26666666666666666
16,0,1,4,0.25
17,1,1,5,0.29411764705882354
18,1,1,6,0.3333333333333333
19,1,1,7,0.3684210526315789
20,0,1,7,0.35
21,0,1,7,0.3333333333333333
22,0,1,7,0.3181818181818182
23,0,1,7,0.30434782608695654
24,1,1,8,0.3333333333333333
25,0,1,8,0.32
26,1,1,9,0.34615384615384615
27,1,1,10,0.37037037037037035
28,0,1,10,0.35714285714285715
29,1,1,11,0.3793103448275862
30,1,1,12,0.4
31,0,1,12,0.3870967741935484
32,0,1,12,0.375
33,0,1,12,0.36363636363636365
34,0,1,12,0.35294117647058826
35,0,1,12,0.34285714285714286
36,0,1,12,0.3333333333333333
37,0,1,12,0.32432432432432434
38,1,1,13,0.34210526315789475
39,0,1,13,0.3333333333333333
40,0,1,13,0.325
41,0,1,13,0.3170731707317073
42,1,1,14,0.3333333333333333
