Episode,Score,Record,Total Score,Mean Score
1,0,0,0,0.0
2,0,0,0,0.0
3,0,0,0,0.0
4,0,0,0,0.0
5,0,0,0,0.0
6,0,0,0,0.0
7,0,0,0,0.0
8,0,0,0,0.0
9,1,1,1,0.1111111111111111
10,1,1,2,0.2
11,0,1,2,0.18181818181818182
12,1,1,3,0.25
13,0,1,3,0.23076923076923078
14,0,1,3,0.21428571428571427
15,0,1,3,0.2
16,0,1,3,0.1875
17,1,1,4,0.23529411764705882
18,0,1,4,0.2222222222222222
19,0,1,4,0.21052631578947367
20,0,1,4,0.2
21,1,1,5,0.23809523809523808
22,1,1,6,0.2727272727272727
23,0,1,6,0.2608695652173913
24,1,1,7,0.2916666666666667
25,1,1,8,0.32
26,1,1,9,0.34615384615384615
27,0,1,9,0.3333333333333333
